baseItem,equipmentType,affixProfile,minLevel,maxLevel,minDamage,maxDamage,damageClassificationsCount,damageClassifications,minArmorClass,maxArmorClass,armorCategory,shieldSize,maxDurability,requiresStrength,requiresDexterity,requiresSpirit,requiresVitality,requiresAgility
RoseWand,OneHandedMeleeWeapon,OneHandedMelee,8,10,6,16,1,Magical,,,,,24,,,20,,
RottingBranch,TwoHandedMeleeWeapon,TwoHandedMelee,0,0,1,7,1,Physical:Blunt,,,,,6,,,,,
BoStaff,TwoHandedMeleeWeapon,TwoHandedMelee,1,3,2,8,1,Physical:Blunt,,,,,8,,,,,
Spear,TwoHandedMeleeWeapon,TwoHandedMelee,2,5,3,9,1,Physical:Piercing,,,,,11,2,5,,,
Bardiche,TwoHandedMeleeWeapon,TwoHandedMelee,2,5,1,11,1,Physical:Slashing,,,,,15,9,,,,
SplittingMaul,TwoHandedMeleeWeapon,TwoHandedMelee,3,6,6,12,2,Physical:Slashing|Physical:Blunt,,,,,16,11,5,,,
Maul,TwoHandedMeleeWeapon,TwoHandedMelee,5,7,9,14,1,Physical:Blunt,,,,,18,16,,,,
BattleAxe,TwoHandedMeleeWeapon,TwoHandedMelee,5,7,6,15,1,Physical:Slashing,,,,,21,13,7,,,
Glaive,TwoHandedMeleeWeapon,TwoHandedMelee,6,8,8,17,2,Physical:Slashing|Physical:Piercing,,,,,19,9,15,,,
ElementalStaff,TwoHandedMeleeWeapon,TwoHandedMelee,7,9,10,18,2,Physical:Blunt:Fire|Physical:Blunt:Ice|Physical:Blunt:Lightning|Physical:Blunt:Water|Physical:Blunt:Earth|Physical:Blunt:Wind,,,,,18,7,,7,,
Trident,TwoHandedMeleeWeapon,TwoHandedMelee,8,10,14,26,2,Magical:-:Water|Physical:Piercing,,,,,23,7,,7,,
GreatAxe,TwoHandedMeleeWeapon,TwoHandedMelee,9,10,15,35,1,Physical:Slashing,,,,,28,23,11,,,
GravityHammer,TwoHandedMeleeWeapon,TwoHandedMelee,9,10,20,30,1,Physical:Blunt,,,,,40,30,,,,
ElmStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,3,6,4,12,1,Physical:Blunt,,,,,16,,,10,,
MahoganyStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,5,8,8,22,1,Physical:Blunt,,,,,19,,,15,,
EbonyStaff,TwoHandedMeleeWeapon,TwoHandedMeleeCaster,8,10,10,32,1,Physical:Blunt,,,,,24,,,25,,
ShortBow,TwoHandedRangedWeapon,TwoHandedRanged,1,3,2,7,1,Physical:Piercing,,,,,15,,2,,,
RecurveBow,TwoHandedRangedWeapon,TwoHandedRanged,3,5,5,10,1,Physical:Piercing,,,,,16,3,7,,,
CompositeBow,TwoHandedRangedWeapon,TwoHandedRanged,5,8,8,16,1,Physical:Piercing,,,,,26,7,13,,,
MilitaryBow,TwoHandedRangedWeapon,TwoHandedRanged,8,10,12,26,1,Physical:Piercing,,,,,25,13,25,,,
EtherBow,TwoHandedRangedWeapon,TwoHandedRanged,7,10,10,22,1,Magical:Piercing,,,,,11,,7,13,,
Rags,BodyArmor,BodyArmorCloth,1,3,,,,,2,6,Cloth,,12,,,,,
Cape,BodyArmor,BodyArmorCloth,2,4,,,,,5,10,Cloth,,14,,,,,
Cloak,BodyArmor,BodyArmorCloth,3,7,,,,,10,14,Cloth,,20,,,5,,
Robe,BodyArmor,BodyArmorCloth,6,9,,,,,18,22,Cloth,,22,,,9,,
Kevlar,BodyArmor,BodyArmorCloth,8,10,,,,,30,40,Cloth,,28,,,19,,
LeatherArmor,BodyArmor,BodyArmorLeather,3,5,,,,,15,22,Leather,,16,,5,,,
HardLeatherArmor,BodyArmor,BodyArmorLeather,5,7,,,,,25,35,Leather,,18,,7,,,
StuddedLeatherArmor,BodyArmor,BodyArmorLeather,6,8,,,,,30,45,Leather,,24,,11,,,
DemonsaurArmor,BodyArmor,BodyArmorLeather,8,10,,,,,55,65,Leather,,36,,19,,,
RingMail,BodyArmor,BodyArmorMail,3,5,,,,,20,24,Mail,,19,3,3,,,
ChainMail,BodyArmor,BodyArmorMail,4,6,,,,,28,36,Mail,,21,5,5,3,,
ScaleMail,BodyArmor,BodyArmorMail,5,7,,,,,34,45,Mail,,25,,9,7,,
SplintMail,BodyArmor,BodyArmorMail,5,9,,,,,48,60,Mail,,29,13,13,,,
OhmushellMail,BodyArmor,BodyArmorMail,8,10,,,,,65,80,Mail,,52,15,15,7,,
BreastPlate,BodyArmor,BodyArmorPlate,2,4,,,,,30,38,Plate,,20,9,,,,
FieldPlate,BodyArmor,BodyArmorPlate,4,6,,,,,40,45,Plate,,24,15,,,,
GothicPlate,BodyArmor,BodyArmorPlate,5,8,,,,,50,60,Plate,,34,19,,,,
FullPlate,BodyArmor,BodyArmorPlate,8,9,,,,,60,75,Plate,,42,25,,,,
ShardPlate,BodyArmor,BodyArmorPlate,10,10,,,,,80,100,Plate,,50,35,,,,
Cap,HeadGear,HeadGearCloth,1,3,,,,,1,3,Cloth,,12,,,,,
Bandana,HeadGear,HeadGearCloth,2,4,,,,,2,4,Cloth,,14,,,3,,
PaddedCap,HeadGear,HeadGearCloth,3,6,,,,,3,6,Cloth,,14,,,7,,
Ribbon,HeadGear,HeadGearCloth,5,10,,,,,1,1,Cloth,,8,,,,,
WizardHat,HeadGear,HeadGearCloth,7,10,,,,,6,14,Cloth,,20,,,19,,
Eyepatch,HeadGear,HeadGearLeather,1,3,,,,,2,5,Leather,,14,,2,,,
LeatherHat,HeadGear,HeadGearLeather,3,5,,,,,5,8,Leather,,16,,5,,,
LeatherHelm,HeadGear,HeadGearLeather,4,8,,,,,9,15,Leather,,18,,7,,,
DemonsaurHelm,HeadGear,HeadGearLeather,9,10,,,,,18,24,Leather,,28,,19,,,
Hairpin,HeadGear,HeadGearMail,3,4,,,,,2,2,Mail,,12,,,,,
Skullcap,HeadGear,HeadGearMail,4,5,,,,,8,16,Mail,,18,7,7,,,
Coif,HeadGear,HeadGearMail,5,8,,,,,20,26,Mail,,19,9,9,5,,
OhmushellMask,HeadGear,HeadGearMail,7,10,,,,,30,38,Mail,,32,15,15,9,,
Circlet,HeadGear,HeadGearPlate,2,4,,,,,5,10,Plate,,18,,,,,
Crown,HeadGear,HeadGearPlate,4,6,,,,,10,20,Plate,,16,7,,,,
FullHelm,HeadGear,HeadGearPlate,6,9,,,,,22,30,Plate,,31,11,,,,
GreatHelm,HeadGear,HeadGearPlate,9,10,,,,,32,40,Plate,,50,19,,,,
PotLid,Shield,Shield,0,0,,,,,2,2,,Small,8,,,,,
CabinetDoor,Shield,Shield,1,3,,,,,2,6,,Small,16,,,,,
Heater,Shield,Shield,2,4,,,,,10,18,,Medium,22,3,,,,
Buckler,Shield,Shield,3,5,,,,,20,32,,Small,18,3,2,,,
Pavise,Shield,Shield,4,6,,,,,32,41,,Large,20,7,3,,,
Aspis,Shield,Shield,5,7,,,,,40,48,,Medium,18,7,7,,,
LanternShield,Shield,Shield,5,6,,,,,50,55,,Small,15,,7,3,,
KiteShield,Shield,Shield,6,8,,,,,60,75,,Medium,24,14,7,,,
TowerShield,Shield,Shield,7,10,,,,,70,80,,Large,25,29,,,,
AncientBuckler,Shield,Shield,8,10,,,,,80,100,,Small,28,7,29,,,
GothicShield,Shield,Shield,8,10,,,,,85,110,,Medium,28,29,7,,,
Ring,Ring,Jewelry,3,10,,,,,,,,,,,,,,
Amulet,Amulet,Jewelry,3,10,,,,,,,,,,,,,,
